GEOID10,Latitude,Longitude,D_d,SE_T002_002,PCT_SE_T02A_002,PCT_SE_T011_002,PCT_SE_T011_005,PCT_SE_T054_003,PCT_SE_T058_006,PCT_SE_T058_008,SE_T064_001,SE_T068_001,PCT_SE_T070_002,PCT_SE_T025_002,PCT_SE_T113_002,SE_T059_001,SE_T068_001.1,PCT_SE_T080_002,Unemploy,neighbor1,neighbor2,neighbor3,neighbor4,neighbor5,neighbor6,neighbor7,neighbor8,neighbor9,neighbor10,neighbor11,neighbor12,neighbor13
26049010502,43.0627824,-83.7924598,0.000983391,622.4412,99.01,23.79,21,26.14,18.88,34.82,2.24,1722,92.57,6.63,17.98,47478,73070100,4.94,54.4874202,26049010700,26049012704,26049010810,26049010811,26049010812,26049010501,26049010603,26049010610,26049010504,26049010503,0,0,0
26049010503,43.1058149,-83.7871143,0.00091089,230.2955,99.72,23.12,15.27,4.39,8.96,19.58,2.65,895,94.75,6.02,8.04,66146,54372300,2.19,48.76250658,26049010501,26049010502,26049010504,26049010610,26049012603,26049010202,26049010115,0,0,0,0,0,0
26049010504,43.1097472,-83.7375637,0.000797082,460.8817,99.89,22.85,16.95,29.42,17.24,23.31,2.55,1849,88.16,17.57,9.39,50868,83271000,5.74,55.04004419,26049010501,26049000100,26049010304,26049010502,26049010503,26049010305,26049012310,0,26049010202,26049010115,26049012503,0,0
26049010603,43.0667041,-83.833883,0.001064221,2393.636,93.97,20.26,24.73,2.37,12.33,37.03,2.2,2661,93.27,8.69,2.72,58948,142420200,1.95,48.4980319,26049010502,26049010700,26049010604,26049010610,0,0,0,0,0,0,0,0,0
26049010604,43.0603095,-83.8424568,0.001105321,2161.684,98.52,24.64,15.53,2.35,12.45,22.89,2.53,1155,94.55,0.37,3.16,85310,93670800,1.64,43.92123288,26049010603,26049010700,26049010610,0,0,0,0,0,0,0,0,0,0
26049010610,43.1096176,-83.8406865,0.001077166,543.3767,97.99,24.54,13.53,2.57,10.93,19.91,2.67,2207,93.29,5.43,2.7,73912,152998100,3.14,47.4525931,26049010604,26049010700,26049010603,26049010502,26049010503,26049012603,26049010202,0,0,0,0,0,0
26049010700,43.0825923,-83.8874727,0.000915339,241.4342,99.54,23.11,17.1,1.66,7.85,20.74,2.61,2041,95.44,6.13,6.13,72291,134824400,3.59,44.95526839,26049012703,26155030100,26049012704,26049010810,26049010502,26049010603,26049010604,26049010610,26145012900,26049012603,0,0,0
26049010810,43.0263954,-83.7946645,0.00116543,1298.239,97.96,23.1,18.75,28.61,10.66,24.04,2.59,2121,93.35,2.89,4.01,114646,229406900,1.8,48.44524561,26049012704,26049010813,26049010910,26049010811,26049010700,26049010502,0,0,0,0,0,0,0
26049010811,43.0336564,-83.7648723,0.000816813,1170.548,98.09,27.3,17.9,55.7,26.8,26.23,2.43,961,91.26,11.76,17.24,45935,36334900,3.16,60.45931103,26049010810,26049010813,26049010910,26049010911,26049010812,26049010502,26049010501,0,0,0,0,0,0
26049010812,43.0353797,-83.7422068,0.000476175,2732.427,99.96,28.33,10.47,38.69,29.34,32.69,2.44,1933,80.39,19.86,21.63,35794,57307300,8.81,54.94835055,26049001600,26049010911,0,26049010811,0,0,26049010502,26049010501,0,0,0,0,0
26049010813,43.0037371,-83.7921236,0.000831043,1152.122,99.78,19.58,18.75,17.17,13.21,33.63,2.27,2195,92.39,8.68,7.95,54494,114928700,0.57,43.44899016,26049010912,26049012704,26049010910,26049010810,26049010811,0,0,0,0,0,0,0,0
26049010910,43.0012307,-83.7590999,0.000564296,1243.215,99.71,20.62,19.15,11.12,15.6,40.16,2.19,1716,87.06,20.05,8.68,40939,55841700,5.21,50.45379538,26049010912,26049010813,26049010911,26049010810,26049010811,0,0,0,0,0,0,0,0
26049010911,43.0088123,-83.7440754,0.001005711,2911.677,97.89,24.19,14.76,53.24,25.44,40.49,2.12,1980,86.57,19.87,12.77,41924,76176300,2.42,45.98726115,26049010910,26049010912,26049003600,26049001600,26049010811,26049010812,0,0,0,0,0,0,0
26049010912,42.9760513,-83.7691316,0.001004123,568.0984,99.36,23.34,19.24,9.61,13.34,34.69,2.3,1459,92.46,11.37,12.25,45219,64166700,2.96,50.39308176,26049012904,26049012802,26049012702,26049980000,26049012704,26049010813,26049010910,26049013500,26049003600,26049010911,0,0,0
26049011010,42.9699857,-83.7102154,0.000425128,2352.749,99.37,20.9,18.35,7.54,15.06,30.59,2.35,2490,92.81,11.06,14.7,50509,122687300,1.98,46.65174028,26049980000,26049012904,26049012905,26049011212,26049011301,26049004000,26049013500,0,0,0,0,0,0
26049011101,42.8936977,-83.6137625,0.000581391,1053.956,98.49,27.78,15.81,8.06,8.12,22.77,2.63,3661,90.82,3.52,3.03,98621,299809300,2.07,42.82332051,26049011102,26125124000,26125123000,26049013401,26049011214,26049011209,26049011211,26049011210,0,0,0,0,0
26049011102,42.8916337,-83.6595659,0.000701193,627.9268,98.46,22.57,13.37,8.35,7.13,39.12,2.19,2778,89.34,3.04,6.8,69126,161617200,2.57,34.88690884,26049012906,26049013301,26125124000,26049011101,26049012905,26049011211,0,0,0,0,0,0,0
26049011209,42.9309829,-83.6084188,0.001043152,2386.114,99.95,24.54,15.23,10.99,11.37,31.81,2.35,2863,94.66,6.1,7.25,82087,219913400,4.29,39.39626995,26049011214,26049011101,26049011210,26049011211,0,0,0,0,0,0,0,0,0
26049011210,42.9220996,-83.6319793,0.000961164,1930.74,98.67,23.4,20.07,11.32,16.88,39.89,2.09,998,93.19,7.68,11.88,49432,48344600,2.56,48.27586207,26049011101,26049011209,26049011211,0,0,0,0,0,0,0,0,0,0
26049011211,42.9315898,-83.6638398,0.000801144,1204.013,99.5,25,12.07,17.79,12.7,31.45,2.39,2527,91.61,8.75,8.66,65211,139812400,0.75,41.53508772,26049011102,26049011101,26049011210,26049012905,26049011209,26049011214,26049011212,26049011213,0,0,0,0,0
26049011212,42.9519104,-83.6684402,0.0008106,2317.466,99.82,26.39,10.69,12.13,15.03,28.14,2.48,2580,93.37,7.61,11.59,52327,117842300,3.6,46.63461538,26049012905,26049011211,26049011214,26049011213,26049011010,26049011301,0,26049011401,0,0,0,0,0
26049011213,42.9538353,-83.6108003,0.000739971,1455.108,99.92,28.05,9.38,7.73,11.72,17.43,2.79,2171,92.77,7.23,3.67,73282,142607900,2.11,38.50916295,26049011211,26049011212,26049011214,26049013401,26049011401,26049011402,26049011601,0,0,0,0,0,0
26049011214,42.9342498,-83.590823,0.00108544,1357.358,99.04,28.68,10.21,11.6,11.45,22.07,2.65,2259,94.69,2.23,10.56,87550,169673600,0.88,38.18938606,26049011101,26049013401,26049011209,26049011211,26049011212,26049011213,0,0,0,0,0,0,0
26049011301,42.968884,-83.682174,0.000652112,3480.583,99.87,27.1,8.77,16.93,25.13,31.44,2.43,2481,87.42,14.32,25.79,40526,84902000,17.85,54.37452996,26049011010,26049012905,26049011212,0,26049004000,0,0,0,0,0,0,0,0
26049011401,42.9726934,-83.6349716,0.001107987,814.188,99.74,25.98,11.71,16.26,21.41,25.75,2.55,1376,92.01,11.11,4.84,46588,66155800,5.07,43.0118798,26049011212,0,26049011213,26049011402,0,26049003300,26049003400,26049011508,26049011502,0,0,0,0
26049011402,42.9741867,-83.5947584,0.00086469,1026.929,99.79,26.98,12.6,4.35,10.31,17.69,2.71,1581,95.13,8.87,3.07,75104,110553500,1.7,34.77301387,26049011213,26049011401,26049013401,26049011601,26049011508,26049011502,26049011503,26049011610,0,0,0,0,0
26049011502,43.0150271,-83.6061158,0.000911637,816.1667,99.22,20.36,15.53,2.43,11.72,26.48,2.46,1428,92.58,12,8.07,64005,82886500,4.56,47.92243767,26049011401,26049011508,26049011402,26049011503,26049011505,26049012006,26049012008,26049012009,0,0,0,0,0
26049011503,43.0173081,-83.5864593,0.001081041,1246.737,99.63,22.68,14.23,2.03,12.1,20.97,2.61,2010,93.73,7.63,5.54,62992,119370200,5.38,46.38357443,26049011402,26049011502,26049011601,26049011610,26049011713,26049011714,26049012008,26049012009,26049011800,0,0,0,0
