NAME,LONG,LAT,POP
Salima,34.53970537,-14.08690562,1276
Salima,34.21809572,-13.48315848,923
Salima,34.27185933,-13.48184194,890
Salima,34.355551,-13.5419863,1246
Salima,34.39289201,-13.60751429,1688
Salima,34.31226839,-13.59673746,1887
Salima,34.62792308,-13.59740265,433
Salima,34.46693645,-13.78180695,970
Salima,34.50803909,-13.97810169,1390
Lilongwe,33.87683654,-14.05609944,1136
Lilongwe,33.2815796,-13.86927024,1178
Lilongwe,33.50114813,-13.93431123,953
Lilongwe,33.40083601,-13.95673206,1284
Lilongwe,33.39731655,-14.00033968,1659
Lilongwe,33.45592907,-14.061195,1372
Lilongwe,33.45625483,-14.15045036,1363
Lilongwe,33.93324021,-14.13369847,905
Lilongwe,33.83520328,-14.09252232,1527
Lilongwe,33.80828966,-14.08501266,1480
Lilongwe,33.65341387,-13.9202662,1750
Lilongwe,33.74396786,-14.13026507,1478
Lilongwe,33.75638643,-14.29593199,975
Lilongwe,33.77639746,-14.24879538,1783
Lilongwe,33.94904097,-13.9460963,1247
Lilongwe,34.04454886,-13.98852651,811
Lilongwe,33.98862102,-14.02191419,1154
Lilongwe,33.92732581,-14.04336582,1196
Lilongwe,34.11141334,-14.04198262,706
Lilongwe,34.04611852,-13.93546898,761
Lilongwe,34.10064803,-13.95260726,1247
Lilongwe,33.44029643,-13.65048815,903
Lilongwe,33.42453006,-13.71105432,1412
Lilongwe,33.3140705,-13.76127587,837
Lilongwe,33.35437866,-13.79297246,1130
Lilongwe,33.36025268,-13.80993166,1289
Lilongwe,33.91368633,-13.77877897,1039
Lilongwe,33.9716496,-13.87590878,914
Lilongwe,33.94598631,-14.09656222,1231
Lilongwe,33.51221213,-13.79967576,1144
Lilongwe,33.44286823,-13.83635478,1568
Lilongwe City,33.7837577,-14.00752351,1687
Lilongwe,33.46455739,-13.7653675,1357
Lilongwe City,33.77667185,-13.93519117,1393
Lilongwe City,33.77603904,-13.94433224,1742
Lilongwe City,33.81094385,-13.98450425,1585
Lilongwe City,33.79552975,-14.01009918,1819
Lilongwe City,33.81195182,-14.00475464,1239
Lilongwe City,33.82281878,-14.01277065,1576
Lilongwe City,33.80191236,-14.0176012,888
Lilongwe City,33.80974118,-14.01955674,1280
Lilongwe City,33.75758993,-13.88606139,1771
Lilongwe City,33.75882927,-13.8928133,1534
Lilongwe City,33.80517686,-13.96414742,0
Lilongwe City,33.77576412,-14.01298733,2231
Lilongwe City,33.72588361,-13.98186358,1563
Lilongwe City,33.71832607,-14.01877008,867
Mchinji,33.0268908,-14.02211968,1165
Mchinji,33.08785072,-13.95188565,1448
Mchinji,33.07879946,-13.83393511,1366
Mchinji,33.1139086,-13.91293903,1277
Mchinji,32.90364127,-13.69828248,1372
Mchinji,33.2451009,-13.64510519,1671
Mchinji,32.92855553,-13.60933508,1171
Mchinji,33.1256873,-13.51623726,1058
Mchinji,33.17053789,-13.58947127,1634
Dedza,33.73130552,-14.40581694,1118
Dedza,33.94631535,-14.44500721,1360
Dedza,34.02144117,-14.3666529,1151
Dedza,34.14823695,-14.43143651,1449
Dedza,34.20160917,-14.41647548,845
Dedza,34.22901273,-14.4007215,1630
Dedza,34.11426068,-14.4024096,1279
Dedza,33.96052713,-14.28729617,985
Dedza,33.99520745,-14.3587633,829
Dedza,33.90884261,-14.35005687,1210
Dedza,34.11931593,-14.1540397,915
Dedza,34.00129155,-14.21929699,1112
Dedza,34.05852228,-14.22127149,944
Dedza,34.04762729,-14.25959545,814
Dedza,34.22627676,-14.37432413,1417
Dedza,34.28678992,-14.01825105,1203
Dedza,34.22886085,-14.02354187,1192
Dedza,34.33112536,-14.10658745,850
Dedza,34.3318376,-14.13801733,1007
Dedza,34.28407313,-14.27846217,1184
Dedza,34.42306499,-14.38452208,961
Dedza,34.43907507,-14.40336944,891
Ntcheu,34.76673992,-14.95488445,1272
Ntcheu,34.75070758,-15.14772386,1000
Ntcheu,34.74180904,-15.1849859,400
Ntcheu,34.63475435,-14.77629947,1369
Ntcheu,34.89217145,-14.79159686,863
Ntcheu,34.89793576,-14.90204988,932
Ntcheu,34.69408955,-14.74073023,1301
Ntcheu,34.65170051,-14.75258706,1120
Ntcheu,34.66081238,-14.72570198,1346
Ntcheu,34.60272817,-14.75458471,776
Ntcheu,34.60667779,-14.6599618,1264
Ntcheu,34.55733468,-14.51026022,869
Ntcheu,34.49083754,-14.53512197,1199
Ntcheu,34.46843752,-14.51477795,1255
Ntcheu,34.59152153,-14.55997554,1585
Ntcheu,34.74112075,-14.58036749,1236
Ntcheu,34.63709479,-14.67449493,1083
Ntcheu,34.6175061,-14.60291913,1058
Ntcheu,34.44914368,-14.43093064,1486
Ntcheu,34.57650976,-14.44084528,1291
Mangochi,35.17093694,-14.4189928,1334
Mangochi,35.32917828,-14.43000463,1461
Mangochi,35.25933686,-14.4984569,787
Mangochi,35.08776939,-14.54652729,1567
Mangochi,35.15297493,-14.33819686,924
Mangochi,35.04303422,-14.72521254,1059
Mangochi,34.97642591,-14.69475183,1744
Mangochi,34.84341994,-14.06617196,3225
Mangochi,34.84567005,-14.12846487,1100
Mangochi,34.8261647,-14.14164732,1869
Mangochi,34.94077887,-14.26273888,2174
Mangochi,34.81062719,-14.45901525,1275
Mangochi,35.38666284,-14.33329522,928
Mangochi,35.42965844,-14.36750865,1361
Mangochi,35.60446834,-14.39778334,789
Mangochi,35.59914544,-14.37030168,1585
Mangochi,35.58518169,-14.43676691,1220
Mangochi,35.61018725,-14.46108016,1257
Mangochi,35.59218633,-14.58940035,1416
Mangochi,35.46333191,-14.61216804,1416
Mangochi,35.32671819,-14.45681924,380
Mangochi,35.3168031,-14.46791446,837
Mangochi,35.38631306,-14.50636395,1418
Mangochi,35.35137811,-14.62172411,900
Mangochi,35.42418307,-14.67804064,1067
Mangochi,35.43073575,-14.75309308,1102
Mangochi,35.48968294,-14.75769068,795
Mangochi,35.2980083,-14.35254405,838
Mangochi,35.38114412,-14.25587515,1363
Mangochi,35.43491325,-14.2996287,1073
Mangochi,35.45650999,-14.28187947,1300
Mangochi,35.28953562,-13.98556795,1172
Mangochi,34.9198354,-13.71181629,1443
Mangochi,35.0667108,-13.70753709,502
Machinga,35.7078314,-14.8026269,888
Machinga,35.67191135,-14.78497725,1124
Machinga,35.69856175,-14.88714444,1569
Chiradzulu,35.14035354,-15.84975538,955
Blantyre City,35.04331129,-15.76909431,3887
Mwanza,34.58355394,-15.39793472,2116
Mwanza,34.56112163,-15.5203784,410
Balaka,34.89170584,-15.10725845,929
Balaka,34.87007282,-15.17228439,648
Balaka,34.94914003,-15.1574629,1035
Machinga,35.3337198,-14.7583563,1297
Machinga,35.4607034,-14.83126966,1455
Machinga,35.18754715,-15.19741782,1132
Machinga,35.59375671,-14.84893164,1380
Machinga,35.54018789,-14.84993424,1183
Machinga,35.65567356,-14.88545385,1216
Machinga,35.57870106,-14.94645294,1089
Machinga,35.61870408,-14.96255956,1205
Machinga,35.58813307,-14.96438698,1336
Machinga,35.81722462,-15.06139195,634
Machinga,35.45283957,-15.16131756,1071
Machinga,35.50816904,-14.9905695,1479
Machinga,35.53805864,-14.99506641,777
Machinga,35.4780113,-15.08748995,635
Machinga,35.49752197,-14.98739373,1298
Machinga,35.77987589,-14.73386986,1425
Machinga,35.57768733,-14.72861153,967
Machinga,35.66439899,-14.61530278,640
Machinga,35.23151169,-15.06342551,1964
Zomba,35.52914145,-15.28859569,1077
Zomba,35.47680131,-15.31026716,1071
Zomba,35.45150321,-15.3442146,902
Zomba,35.48537836,-15.34978301,1324
Zomba,35.42255299,-15.3617255,963
Zomba,35.39032779,-15.38392324,1330
Zomba,35.45788033,-15.38613066,1036
Zomba,35.480254,-15.38698452,912
Zomba,35.42351438,-15.46654627,927
Zomba,35.42610183,-15.4410087,1208
Zomba,35.49714575,-15.43038391,1358
Zomba,35.4652428,-15.51021016,944
Zomba,35.44550906,-15.50097778,914
Zomba,35.52219473,-15.54140594,1377
Zomba,35.55495789,-15.51347698,1283
Zomba,35.5727732,-15.53438113,1147
Zomba,35.56445738,-15.40786175,1324
Zomba,35.35245949,-15.44427445,1007
Zomba,35.46182585,-15.55888279,688
Zomba,35.29436523,-15.55324952,1119
Zomba,35.31240487,-15.57939653,1223
Zomba,35.32798052,-15.58772006,1801
Zomba,35.2992359,-15.66080664,1032
Zomba,35.40715303,-15.64078621,1459
Zomba,35.23670731,-15.49065751,902
Zomba,35.37639992,-15.59637756,634
Zomba,35.22311494,-15.24185571,391
Zomba,35.15975937,-15.2767166,1375
Zomba,35.18127154,-15.2673418,879
Zomba,35.13216336,-15.28318829,595
Zomba,35.10197499,-15.3157434,1309
Zomba,35.2205436,-15.40136333,927
Zomba,35.24410255,-15.37970395,819
Zomba,35.27039416,-15.38584664,884
Zomba,35.38414402,-15.23665169,614
Zomba,35.37903273,-15.31516373,1384
Zomba,35.39326031,-15.33927721,944
Zomba,35.3801262,-15.36906452,1701
Zomba City,35.30720926,-15.38320571,2152
Chiradzulu,35.1266503,-15.70180895,1029
Chiradzulu,35.13825559,-15.73787555,1618
Chiradzulu,35.14370173,-15.75687711,1117
Chiradzulu,35.15513171,-15.76836464,1296
Chiradzulu,35.12073901,-15.77993126,1035
Chiradzulu,35.12421142,-15.78790763,1140
Chiradzulu,35.20815322,-15.67723415,516
Chiradzulu,35.22451514,-15.70172019,772
Chiradzulu,35.24114829,-15.70781716,877
Chiradzulu,35.2976643,-15.75134695,1240
Chiradzulu,35.21431267,-15.80040167,848
Chiradzulu,35.23002097,-15.80107195,698
Chiradzulu,35.24750287,-15.7891497,991
Chiradzulu,35.29705454,-15.77394198,980
Chiradzulu,35.24028956,-15.85422724,847
Chiradzulu,35.22595566,-15.87921875,1181
Chiradzulu,35.25618855,-15.88196428,1161
Chiradzulu,35.2976825,-15.9377373,914
Chiradzulu,35.29951697,-15.97121505,1025
Chiradzulu,35.22410788,-15.59809925,1079
Chiradzulu,35.22935692,-15.62172442,1007
Blantyre,34.95312189,-15.5261659,953
Blantyre,35.02505554,-15.47350391,986
Blantyre,35.05411263,-15.54713996,901
Blantyre,34.92276509,-15.40792119,1613
Blantyre,34.89357305,-15.64941414,1029
Blantyre,34.89041368,-15.71482359,948
Blantyre,35.10222228,-15.53084057,1141
Blantyre,35.11681952,-15.53841956,950
Blantyre,35.0818274,-15.57306484,973
Blantyre,35.0798351,-15.6300895,861
Blantyre,34.94958134,-15.7054331,913
Blantyre,35.10983732,-15.6612402,946
Blantyre,34.98858305,-15.89238093,1081
Blantyre,34.91446011,-15.90507091,1078
Blantyre City,35.09367401,-15.7629834,931
Blantyre City,35.08783044,-15.78922393,1499
Blantyre City,35.03276245,-15.76654229,1960
Blantyre City,35.04597142,-15.77512312,2254
Blantyre City,35.04147479,-15.77565133,1109
Blantyre City,35.02989112,-15.77699734,1435
Blantyre City,34.99970419,-15.76869742,2800
Blantyre City,34.98985588,-15.76410491,3331
Blantyre City,35.09159572,-15.82512947,4801
Blantyre City,35.08282472,-15.82544186,1538
Blantyre City,35.07135759,-15.83737914,382
Blantyre City,35.0237144,-15.80552003,1695
Blantyre City,35.00956058,-15.81945139,2740
Blantyre City,35.05500113,-15.84918954,987
Mwanza,34.63550854,-15.27154597,1202
Mwanza,34.45715229,-15.53501517,799
Mwanza,34.45249113,-15.56780888,580
Mwanza,34.503029,-15.61031513,941
